SHIPPING_MODE,SHIPPING_PRICE,WARRANTIES_FLG,CARD_PAYMENT,COUPON_PAYMENT,PRICECLUB_STATUS,BUYER_BIRTHDAY_DATE,PURCHASE_COUNT,SELLER_SCORE_COUNT,SELLER_COUNTRY,PRODUCT_FAMILY,ITEM_PRICE,CLAIM_TYPE
MONDIAL_RELAY,1<5,non,1,0,PLATINUM,1946,>500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1998,20<50,1000<10000,CHINA,ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1944,<5,100000<1000000,SWITZERLAND,VIDEO,<10,non
SUIVI,5<10,non,1,0,UNSUBSCRIBED,1976,20<50,10000<100000,"FRANCE, METROPOLITAN",VIDEO,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1996,<5,<100,CHINA,CLOTHING,20<50,non
SUIVI,Inconnu,non,1,0,UNSUBSCRIBED,1956,<5,10000<100000,ANDORRA,WHITE,20<50,oui
SUIVI,Inconnu,non,1,0,PLATINUM,1976,50<100,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,Inconnu,non,1,0,REGULAR,1977,20<50,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,<10,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1957,5<20,10000<100000,"FRANCE, METROPOLITAN",VIDEO,10<20,non
NORMAL,Inconnu,non,1,0,PLATINUM,1969,50<100,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,REGULAR,1957,100<500,100000<1000000,GERMANY,BOOKS,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1976,<5,100<1000,CHINA,ELECTRONICS,100<500,non
NORMAL,1<5,non,1,1,PLATINUM,1975,50<100,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,1<5,non,0,0,UNSUBSCRIBED,1980,20<50,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1990,<5,100000<1000000,GERMANY,VIDEO,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1934,5<20,10000<100000,UNITED KINGDOM,MUSIC,<10,non
RECOMMANDE,Inconnu,non,1,0,REGULAR,1955,<5,1000<10000,CHINA,CLOTHING,10<20,oui
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1973,<5,100000<1000000,GERMANY,BOOKS,<10,non
RECOMMANDE,<1,non,1,0,REGULAR,1989,<5,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,50<100,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1968,<5,1000<10000,HONG KONG,ELECTRONICS,500<1000,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1972,20<50,10000<100000,HONG KONG,ELECTRONICS,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1980,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,non
MONDIAL_RELAY_PREPAYE,5<10,non,1,0,REGULAR,1983,5<20,100<1000,"FRANCE, METROPOLITAN",WHITE,20<50,oui
NORMAL,<1,non,1,0,UNSUBSCRIBED,1982,100<500,1000<10000,"FRANCE, METROPOLITAN",MUSIC,<10,non
RECOMMANDE,Inconnu,non,1,0,SILVER,1992,5<20,1000<10000,"FRANCE, METROPOLITAN",WHITE,50<100,non
NORMAL,5<10,non,1,0,UNSUBSCRIBED,1984,<5,10000<100000,"FRANCE, METROPOLITAN",WHITE,10<20,oui
NORMAL,Inconnu,non,0,0,GOLD,1965,5<20,100000<1000000,GERMANY,BOOKS,<10,oui
NORMAL,Inconnu,non,1,0,SILVER,1995,5<20,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
RECOMMANDE,1<5,non,1,0,UNSUBSCRIBED,1979,<5,1000<10000,CHINA,SPORT,<10,oui
RECOMMANDE,Inconnu,non,1,1,UNSUBSCRIBED,1984,<5,1000<10000,GERMANY,SPORT,50<100,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1968,<5,10000<100000,"FRANCE, METROPOLITAN",SPORT,50<100,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1985,5<20,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1964,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,Inconnu,non,0,0,PLATINUM,1981,100<500,10000<100000,HONG KONG,WHITE,<10,non
NORMAL,Inconnu,non,0,0,PLATINUM,1975,50<100,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1976,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,oui
SUIVI,1<5,non,1,0,UNSUBSCRIBED,1990,<5,10000<100000,"FRANCE, METROPOLITAN",GAMES,50<100,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1972,<5,100<1000,CHINA,ELECTRONICS,<10,oui
NORMAL,1<5,non,1,0,GOLD,1970,50<100,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
SUIVI,Inconnu,non,1,0,REGULAR,1986,<5,1000<10000,"FRANCE, METROPOLITAN",WHITE,<10,non
NORMAL,1<5,non,1,0,PLATINUM,1986,>500,10000<100000,UNITED KINGDOM,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1995,5<20,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,oui
EXPRESS_DELIVERY,10<20,non,1,0,UNSUBSCRIBED,1989,<5,<100,"FRANCE, METROPOLITAN",BABY,50<100,oui
NORMAL,5<10,non,1,0,UNSUBSCRIBED,1993,<5,100<1000,"FRANCE, METROPOLITAN",BOOKS,20<50,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1966,5<20,1000<10000,UNITED KINGDOM,COMPUTER,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1982,5<20,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,GOLD,1974,50<100,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1946,<5,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1966,<5,10000<100000,UNITED KINGDOM,ELECTRONICS,100<500,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1998,5<20,1000<10000,"FRANCE, METROPOLITAN",GAMES,20<50,non
NORMAL,<1,oui,1,0,UNSUBSCRIBED,1963,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1973,100<500,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,<1,non,0,0,SILVER,1977,20<50,1000<10000,"FRANCE, METROPOLITAN",WHITE,<10,non
NORMAL,Inconnu,non,1,0,GOLD,1971,5<20,10000<100000,"FRANCE, METROPOLITAN",WHITE,<10,non
SUIVI,Inconnu,non,1,0,PLATINUM,1971,5<20,10000<100000,ANDORRA,HIFI,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1982,20<50,100000<1000000,GERMANY,MUSIC,<10,non
SUIVI,1<5,non,1,0,UNSUBSCRIBED,1962,5<20,1000<10000,"FRANCE, METROPOLITAN",BABY,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1987,<5,<100,CHINA,HIFI,50<100,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1964,100<500,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1981,5<20,100000<1000000,GERMANY,BOOKS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1957,20<50,1000<10000,UNITED KINGDOM,COMPUTER,20<50,non
RECOMMANDE,10<20,non,1,0,GOLD,1974,20<50,10000<100000,"FRANCE, METROPOLITAN",WHITE,50<100,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1997,<5,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,10<20,non
NORMAL,Inconnu,non,1,0,PLATINUM,1973,>500,100000<1000000,GERMANY,BOOKS,<10,oui
RECOMMANDE,Inconnu,non,1,0,GOLD,1982,50<100,1000<10000,"FRANCE, METROPOLITAN",WHITE,<10,non
RECOMMANDE,Inconnu,non,1,0,REGULAR,1996,20<50,1000<10000,SPAIN,ELECTRONICS,100<500,non
NORMAL,Inconnu,non,0,0,SILVER,1972,20<50,100<1000,CHINA,WHITE,<10,non
RECOMMANDE,Inconnu,non,1,1,PLATINUM,1958,100<500,10000<100000,"FRANCE, METROPOLITAN",WHITE,10<20,non
NORMAL,Inconnu,non,0,0,UNSUBSCRIBED,1976,>500,100000<1000000,GERMANY,GAMES,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1993,5<20,10000<100000,"FRANCE, METROPOLITAN",COMPUTER,100<500,oui
RECOMMANDE,Inconnu,non,1,1,UNSUBSCRIBED,1985,<5,1000<10000,GERMANY,SPORT,100<500,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1965,<5,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,50<100,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1956,<5,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1974,<5,1000<10000,CHINA,SPORT,<10,non
MONDIAL_RELAY,5<10,non,1,0,UNSUBSCRIBED,1980,5<20,100000<1000000,"FRANCE, METROPOLITAN",VIDEO,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1997,5<20,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,<1,non,0,0,REGULAR,1963,50<100,1000<10000,"FRANCE, METROPOLITAN",WHITE,<10,oui
NORMAL,Inconnu,non,1,0,REGULAR,1987,100<500,1000<10000,CHINA,ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1999,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
SUIVI,Inconnu,non,1,0,UNSUBSCRIBED,1980,20<50,1000<10000,"FRANCE, METROPOLITAN",SPORT,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1952,<5,10000<100000,LUXEMBOURG,COMPUTER,20<50,non
NORMAL,Inconnu,non,1,0,PLATINUM,1973,100<500,10000<100000,"FRANCE, METROPOLITAN",BOOKS,10<20,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1992,50<100,1000<10000,CHINA,ELECTRONICS,10<20,oui
NORMAL,Inconnu,non,1,0,GOLD,1977,20<50,10000<100000,GERMANY,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,GOLD,1951,100<500,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1961,<5,1000<10000,"FRANCE, METROPOLITAN",HIFI,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1944,>500,100000<1000000,GERMANY,VIDEO,10<20,non
RECOMMANDE,Inconnu,non,1,0,GOLD,1988,5<20,1000<10000,CHINA,ELECTRONICS,100<500,oui
SO_POINT_RELAIS,Inconnu,non,1,0,SILVER,1980,5<20,100<1000,"FRANCE, METROPOLITAN",WINE,10<20,non
RECOMMANDE,Inconnu,oui,1,1,UNSUBSCRIBED,1999,<5,1000<10000,HONG KONG,ELECTRONICS,100<500,oui
RECOMMANDE,<1,non,1,0,UNSUBSCRIBED,1995,<5,10000<100000,HONG KONG,ELECTRONICS,20<50,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1994,20<50,100<1000,CHINA,ELECTRONICS,20<50,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1958,<5,100<1000,"FRANCE, METROPOLITAN",WHITE,100<500,oui
NORMAL,<1,non,1,0,UNSUBSCRIBED,1970,20<50,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
MONDIAL_RELAY_PREPAYE,Inconnu,non,1,0,PLATINUM,1966,100<500,10000<100000,"FRANCE, METROPOLITAN",COMPUTER,<10,oui
SUIVI,Inconnu,non,1,0,PLATINUM,1974,5<20,100000<1000000,"FRANCE, METROPOLITAN",VIDEO,20<50,oui
NORMAL,1<5,non,0,0,PLATINUM,1981,100<500,<100,"FRANCE, METROPOLITAN",VIDEO,20<50,oui
NORMAL,Inconnu,non,1,0,REGULAR,1952,5<20,1000<10000,SWITZERLAND,VIDEO,<10,oui
SUIVI,5<10,non,1,0,UNSUBSCRIBED,1965,5<20,1000<10000,"FRANCE, METROPOLITAN",BOOKS,10<20,oui
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1967,<5,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,20<50,oui
CHRONOPOST,Inconnu,non,0,0,PLATINUM,1960,50<100,100<1000,"FRANCE, METROPOLITAN",WHITE,<10,non
NORMAL,Inconnu,non,1,0,REGULAR,1988,5<20,100<1000,CHINA,ELECTRONICS,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1969,<5,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1996,20<50,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,1<5,non,1,0,GOLD,1998,5<20,10000<100000,"FRANCE, METROPOLITAN",SPORT,<10,oui
RECOMMANDE,5<10,non,1,0,UNSUBSCRIBED,1998,<5,100<1000,UNITED KINGDOM,CLOTHING,50<100,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1991,100<500,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1975,5<20,100000<1000000,"FRANCE, METROPOLITAN",GAMES,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1985,20<50,1000<10000,CHINA,HIFI,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1964,100<500,100000<1000000,GERMANY,VIDEO,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1992,20<50,100000<1000000,"FRANCE, METROPOLITAN",GAMES,10<20,oui
NORMAL,Inconnu,non,1,0,SILVER,1997,5<20,100000<1000000,GERMANY,GAMES,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1983,20<50,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,20<50,non
RECOMMANDE,5<10,non,1,0,UNSUBSCRIBED,1978,<5,1000<10000,GERMANY,WHITE,10<20,non
MONDIAL_RELAY_PREPAYE,1<5,oui,1,0,SILVER,1982,100<500,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,20<50,oui
NORMAL,<1,non,1,0,UNSUBSCRIBED,1974,20<50,100<1000,"FRANCE, METROPOLITAN",CLOTHING,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1950,100<500,10000<100000,"FRANCE, METROPOLITAN",BOOKS,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1994,<5,1000<10000,UNITED KINGDOM,HIFI,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1989,5<20,100000<1000000,"FRANCE, METROPOLITAN",GAMES,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1976,50<100,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,1<5,non,0,0,PLATINUM,1981,>500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1959,<5,100<1000,HONG KONG,HIFI,20<50,oui
NORMAL,Inconnu,non,0,0,GOLD,1966,100<500,100000<1000000,GERMANY,MUSIC,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1891,<5,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1983,5<20,10000<100000,GERMANY,HIFI,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1967,100<500,100000<1000000,GERMANY,VIDEO,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1981,20<50,1000<10000,HONG KONG,ELECTRONICS,10<20,non
NORMAL,Inconnu,non,0,0,SILVER,1955,100<500,10000<100000,UNITED STATES,VIDEO,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1975,<5,10000<100000,HONG KONG,GAMES,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1991,<5,10000<100000,UNITED STATES,ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,GOLD,1988,5<20,100000<1000000,GERMANY,VIDEO,<10,non
MONDIAL_RELAY,<1,non,1,1,PLATINUM,1975,100<500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1979,<5,1000<10000,CHINA,COMPUTER,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1977,5<20,1000<10000,HONG KONG,ELECTRONICS,<10,oui
RECOMMANDE,10<20,non,1,0,UNSUBSCRIBED,1994,<5,100<1000,CHINA,ELECTRONICS,100<500,oui
RECOMMANDE,Inconnu,non,1,1,UNSUBSCRIBED,1977,20<50,1000<10000,GERMANY,SPORT,50<100,oui
NORMAL,<1,non,1,0,UNSUBSCRIBED,1975,<5,1000<10000,"FRANCE, METROPOLITAN",WHITE,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1988,5<20,100<1000,"FRANCE, METROPOLITAN",SPORT,<10,non
NORMAL,Inconnu,non,1,0,SILVER,1980,20<50,100000<1000000,GERMANY,BOOKS,10<20,non
RECOMMANDE,Inconnu,non,1,1,REGULAR,1984,<5,100<1000,CHINA,ELECTRONICS,100<500,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1958,<5,100<1000,CHINA,ELECTRONICS,100<500,non
NORMAL,<1,non,1,0,UNSUBSCRIBED,1980,<5,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1966,20<50,1000<10000,HONG KONG,ELECTRONICS,500<1000,non
NORMAL,Inconnu,non,1,0,PLATINUM,1977,50<100,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,Inconnu,non,1,1,REGULAR,1991,20<50,100<1000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1978,100<500,100000<1000000,GERMANY,BOOKS,<10,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1963,<5,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,1<5,non,1,0,SILVER,1980,5<20,100<1000,"FRANCE, METROPOLITAN",GAMES,10<20,non
NORMAL,Inconnu,non,0,0,PLATINUM,1979,50<100,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
RECOMMANDE,Inconnu,non,1,1,UNSUBSCRIBED,1973,5<20,1000<10000,CHINA,BABY,100<500,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1949,20<50,1000<10000,CHINA,ELECTRONICS,<10,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1976,<5,10000<100000,HONG KONG,ELECTRONICS,50<100,non
RECOMMANDE,Inconnu,non,1,1,PLATINUM,1975,50<100,1000<10000,CHINA,ELECTRONICS,100<500,non
NORMAL,Inconnu,non,1,0,PLATINUM,1982,100<500,100000<1000000,SWITZERLAND,MUSIC,10<20,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1971,<5,100<1000,CHINA,ELECTRONICS,100<500,non
NORMAL,Inconnu,non,1,0,GOLD,1959,>500,100000<1000000,GERMANY,MUSIC,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1978,100<500,10000<100000,UNITED STATES,MUSIC,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1996,50<100,1000<10000,"FRANCE, METROPOLITAN",GAMES,20<50,non
NORMAL,Inconnu,non,0,0,PLATINUM,1969,100<500,<100,CHINA,WHITE,10<20,non
SO_POINT_RELAIS,1<5,non,1,0,UNSUBSCRIBED,1989,<5,100<1000,"FRANCE, METROPOLITAN",BOOKS,10<20,non
NORMAL,Inconnu,non,1,0,REGULAR,1996,5<20,1000<10000,"FRANCE, METROPOLITAN",GAMES,<10,non
SUIVI,1<5,non,1,1,PLATINUM,1978,20<50,10000<100000,"FRANCE, METROPOLITAN",VIDEO,20<50,non
RECOMMANDE,Inconnu,non,1,0,REGULAR,1989,<5,100000<1000000,GERMANY,VIDEO,<10,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1997,5<20,100<1000,"FRANCE, METROPOLITAN",CLOTHING,100<500,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1947,100<500,1000<10000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,1<5,non,1,0,REGULAR,1956,5<20,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,non
NORMAL,1<5,non,0,0,PLATINUM,1960,100<500,10000<100000,"FRANCE, METROPOLITAN",VIDEO,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1956,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1964,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1967,20<50,10000<100000,"FRANCE, METROPOLITAN",BOOKS,10<20,oui
NORMAL,Inconnu,non,0,0,SILVER,1984,50<100,1000<10000,NETHERLANDS,GAMES,20<50,oui
NORMAL,Inconnu,non,1,1,SILVER,1966,5<20,1000<10000,UNITED KINGDOM,CLOTHING,<10,non
RECOMMANDE,Inconnu,non,1,0,REGULAR,1981,20<50,1000<10000,HONG KONG,ELECTRONICS,100<500,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1988,<5,100<1000,CHINA,WHITE,<10,oui
NORMAL,1<5,non,1,0,REGULAR,1985,<5,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1967,20<50,1000<10000,CHINA,CLOTHING,<10,oui
NORMAL,Inconnu,non,1,0,SILVER,1991,5<20,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
RECOMMANDE,Inconnu,non,1,1,PLATINUM,1991,50<100,10000<100000,SPAIN,VIDEO,20<50,non
